Page in 1991	Sort	Page in 2025	Ready	Title	Text Meter	Scripture	Key	Text Attribution	Tune Attribution	Copyright
225t	225.1	225.1	TRUE	REYNOLDS	C.M.	I will love thee, O Lord, my strength.—Ps. 18:1.	A Major	Isaac Watts, 1719.	Arr. Hugh W. McGraw, 1985, from C. J. Griggs, 1939.	Copyright 1991 Sacred Harp Publishing Company.
225b	225.2	225.2	TRUE	CHRISTMAS ANTHEM	[no marking]	Glory to God in the highest, and on earth peace, good will toward men.—Luke 2:14.	G Major	Totten’s Collection, 1813.	James Denson, 1844. Alto W. M. Cooper, 1902.	[no copyright]
227	227	227	TRUE	ODE OF LIFE’S JOURNEY	[no marking]	I have been young, and now am old; yet have I not seen the righteous forsaken.—Ps. 37:25.	A Major	Six Canzonets, 1778, alt. Roswell C. Smith, 1832.	E. J. King, 1844. Alto S. M. Denson, 1911.	[no copyright]
228	228	228	TRUE	MARLBOROUGH	C.M.	Be glad in the Lord, and rejoice, ye righteous: and shout for joy.—Ps. 32:11.	C Major	Isaac Watts, 1719.	Abraham Wood, 1793.	[no copyright]
229	229	229	TRUE	IRWINTON	C.M.D.	Hath not God chosen the poor of this world rich in faith?—James 2:5.	F Major	Maxwell’s Hymns and Spiritual Songs, 1759.	Arr. T. W. Carter, 1844. Alto S. M. Denson, 1911.	[no copyright]
230	230	230	TRUE	CONVERTING GRACE	P.M.	As the hart panteth after the water brooks, so panteth my soul after thee, O God.—Ps. 42:1.	G Major	Tate and Brady, 1696.	R. E. Brown, Jr., 1859.	[no copyright]
n842	10842	231	TRUE	SEILER	C.M.	But the God of all grace ... after that ye have suffered a while, make you perfect.—1 Pet. 5:10.	E Minor	Charles Wesley, 1759.	Jesse P. Karlsberg, 2019.	Copyright 2025 Sacred Harp Publishing Company.
232	232	232	TRUE	BAPTISMAL ANTHEM	[no marking]	In those days came John the Baptist, preaching in the wilderness of Judea.—Matt. 3:1.	A♭ Major	Matthew 3:1–4.	B. F. White, 1844. Alto Leila Underwood, 1902.	[no copyright]
234	234	234	TRUE	REVERENTIAL ANTHEM	[no marking]	Give unto the Lord the glory due unto his name: bring an offering, and come into his courts.—Ps. 96:8.	C Major	Psalm 96:8–9, 11, 13.	E. J. King, 1844. Alto Clara Atkinson, 1902.	[no copyright]
235	235	235	TRUE	LONG SOUGHT HOME	C.M.	In my Father’s house are many mansions: if it were not so, I would have told you.—John 14:2.	C Major	v. 1–2 F. B. P., ca. 1593. v. 3 A Collection of Sacred Ballads, 1790.	William Bobo, 1847. Alto The Christian Harmony, 1873.	[no copyright]
236	236	236	TRUE	EASTER ANTHEM	[no marking]	But now is Christ risen from the dead, and become the firstfruits of them that slept.—1 Cor. 15:20.	A Major	Arr. from Edward Young, 1742, Luke 24:34, and 1 Corinthians 15:20.	William Billings, 1787.	[no copyright]
240	240	240	TRUE	CHRISTIAN SONG	8s.	For this corruptible must put on incorruption, and this mortal must put on immortality.—1 Cor. 15:53.	D Minor	Abner Reed, 1789.	The Christian Harmony, 1805. Alto William Walker, 1867.	[no copyright]
n318	10318	242	TRUE	REVERE	C.M.D.	I am instructed both to be full and to be hungry, both to abound and to suffer need.—Phil. 4:12.	E Minor	Isaac Watts, 1724.	Micah John Walter, 2016.	Copyright 2025 Sacred Harp Publishing Company.
n755	10755	243	TRUE	STANTON	8s & 7s.	Enter thou into the joy of thy lord.—Matt. 25:23.	E Minor	The Baptist Memorial and Monthly Chronicle, 1842, and Spiritual Songs for Social Worship, 1831.	Aldo Thomas Ceresa, 2007.	Copyright 2025 Sacred Harp Publishing Company.
n159	10159	244	TRUE	PLEVNA	C.M.D.	Sing unto the Lord; for he hath done excellent things: this is known in all the earth.—Isa. 12:5.	G Major	Isaac Watts, 1715.	Brad Bahler, 2013.	Copyright 2025 Sacred Harp Publishing Company.
245	245	245	TRUE	CLAREMONT	[no marking]	O death, where is thy sting? O grave, where is thy victory?—1 Cor. 15:55.	A Minor	Alexander Pope, 1736.	Samuel Temple and David Merrill, 1799.	[no copyright]
250	250	250	TRUE	HEAVENLY VISION	[no marking]	For the great day of his wrath is come; and who shall be able to stand?—Rev. 6:17.	G Major	Revelation 7:9; 5:11; 4:8; 8:13; 6:15–17.	Jacob French, 1786.	[no copyright]
n623	10623	254	TRUE	WARSAW	C.M.	And they all wept sore ... that they should see his face no more.—Acts 20:37–38.	A Minor	A Collection of Sacred Ballads, 1790.	Lauren R. Bock, 2018.	Copyright 2025 Sacred Harp Publishing Company.
n1032	11032	255	TRUE	MECHANICVILLE	L.M.	And he hath put a new song in my mouth, even praise unto our God.—Ps. 40:3.	E Minor	Isaac Watts, 1709.	Deidra Montgomery, 2010.	Copyright 2025 Sacred Harp Publishing Company.
n784	10784	256	TRUE	NORTHAMPTON	L.M.	For all flesh is as grass, and all the glory of man as the flower of grass.—1 Pet. 1:24.	F♯ Minor	Epitaph of Sarah Shaw, 1792.	Allison Blake Steel, 2019.	Copyright 2025 Sacred Harp Publishing Company.
n1001	11001	257	TRUE	MANATAWNY	C.M.	Thou carriest them away as with a flood; they are as a sleep.—Ps. 90:5.	E Minor	Isaac Watts, 1719.	Rachel W. Hall, 2023.	Copyright 2025 Sacred Harp Publishing Company.
n1173	11173	258	TRUE	INSPIRATION	C.M.	Open thou mine eyes, that I may behold wondrous things out of thy law.—Ps. 119:18.	A Major	Anne Steele, 1760.	Jenny Solheim, 2023.	Copyright 2025 Sacred Harp Publishing Company.
n575	10575	259	TRUE	EASTON	7s & 6s.	Also I set watchmen over you, saying, Hearken to the sound of the trumpet.—Jer. 6:17.	F Major	Fanny J. Crosby, 1895.	Victoria Elliott, 2015.	Copyright 2025 Sacred Harp Publishing Company.
260	260	260	TRUE	FAREWELL ANTHEM	[no marking]	And ye now therefore have sorrow: but I will see you again, and your heart shall rejoice.—John 16:22.	A Minor	The New American Melody, 1789.	Jacob French, 1789.	[no copyright]
n406	10406	263	TRUE	EVERY GRACE	S.M.	For how great is his goodness, and how great is his beauty!—Zech. 9:17.	G Major	Isaac Watts, v. 1, 1719. v. 2, 1707.	David B. Wright, 1999.	Copyright 2025 Sacred Harp Publishing Company.
n1087	11087	264	TRUE	NIGHT SONG	L.M.D.	Yet the Lord will command his lovingkindness in the daytime, and in the night his song shall be with me.—Ps. 42:8.	F♯ Minor	Isaac Watts, 1719.	Allison Blake Steel, 2009.	Copyright 2025 Sacred Harp Publishing Company.
n288	10288	265	TRUE	GWEHELOG	C.M.	For now we see through a glass, darkly; but then face to face.—1 Cor. 13:12.	A Major	Isaac Watts, 1721.	Matthew Parkinson, 2015.	Copyright 2025 Sacred Harp Publishing Company.
n1119	11119	266	TRUE	CHAMBERSBURG	C.M.	I bare you on eagles’ wings, and brought you unto myself.—Exod. 19:4.	F Major	Isaac Watts, 1709.	Keillor Mose, 2023.	Copyright 2025 Sacred Harp Publishing Company.
267	267	267	TRUE	PARTING FRIENDS	9s & 8s D.	For I am now ready to be offered, and the time of my departure is at hand.—2 Tim. 4:6.	F♯ Minor	The Social Harp, 1855.	Arr. John G. McCurry, 1846. Alto The Christian Harmony, 1867.	[no copyright]
268	268	268	TRUE	DAVID’S LAMENTATION	[no marking]	And as he went, thus he said, O my son Absalom, my son, my son Absalom! would God I had died for thee, O Absalom, my son, my son!—2 Sam. 18:33.	A Minor	2 Samuel 18:33.	William Billings, 1778. Alto Kentucky Harmony, 1816.	[no copyright]
269	269	269	TRUE	BEAR CREEK	L.M.	The chariots of God are twenty thousand, even thousands of angels.—Ps. 68:17.	E Major	Isaac Watts, 1719.	William Billings, 1778. Alto G. B. Daniell, 1921.	[no copyright]
270	270	270	TRUE	CONFIDENCE	L.M.D.	For God hath not given us the spirit of fear; but of power, and of love, and of a sound mind.—2 Tim. 1:7.	A Major	Charles Wesley, 1742.	J. R. Turner, 1850. Alto W. M. Cooper, 1902.	[no copyright]
271t	271.1	271.1	TRUE	ARKANSAS	L.M.	Be not conformed to this world.—Rom. 12:2.	A Minor	Revival Melodies, 1842.	S. P. Barnett, 1870.	[no copyright]
271b	271.2	271.2	TRUE	RESTORATION	L.M.	How long, Lord? wilt thou hide thyself for ever?—Ps. 89:46.	F Major	John Cennick, 1742.	D. P. White, 1850. Alto S. M. Denson, 1911.	[no copyright]
272	272	272	TRUE	EXHORTATION	L.M.	Flee also youthful lusts.—2 Tim. 2:22.	A Minor	Isaac Watts, 1709.	Eliakim Doolittle, 1800.	[no copyright]
273	273	273	TRUE	MILFORD	C.M.	Like as Christ was raised up from the dead by the glory of the Father, even so we also should walk in newness of life.—Rom. 6:4.	A Major	The Divine Companion, 1707.	Joseph Stephenson, 1760.	[no copyright]
274t	274.1	274.1	TRUE	THE GOLDEN HARP	L.M.H.	Yea, upon the harp will I praise thee.—Ps. 43:4.	F♯ Minor	The Baltimore Collection, 1801.	J. P. Rees, 1870.	[no copyright]
274b	274.2	274.2	TRUE	ROLL JORDAN	L.M.H.	And the seven angels which had the seven trumpets prepared themselves to sound.—Rev. 8:6.	G Major	Charles Wesley, 1758.	A. W. and John G. McCurry, 1853. Alto S. M. Denson, 1911.	[no copyright]
275t	275.1	275.1	TRUE	LOVING-KINDNESS	L.M.	Sing unto the Lord a new song.—Ps. 149:1.	A Minor	Samuel Medley, 1782.	J. L. Pickard and S. R. Penick, 1850. Alto W. M. Cooper, 1902.	[no copyright]
275b	275.2	275.2	TRUE	ROLL ON	L.M.	Having a desire to depart, and to be with Christ; which is far better.—Phil. 1:23.	F Major	Isaac Watts, 1707.	Cynthia Bass, 1850. Alto Anna Blackshear, 1902.	[no copyright]
276	276	276	TRUE	BRIDGEWATER	L.M.	All the earth shall worship thee, and shall sing unto thee; they shall sing to thy name.—Ps. 66:4.	C Major	Isaac Watts, 1719.	Lewis Edson, 1782.	[no copyright]
277	277	277	TRUE	ANTIOCH	L.M.H.	I know that my redeemer liveth, and that he shall stand at the latter day upon the earth.—Job 19:25.	G Minor	Samuel Medley, 1775.	F. C. Wood, 1850. Alto J. W. and W. R. McCoy, 1902.	[no copyright]
278t	278.1	278.1	TRUE	LOVE SHALL NEVER DIE	C.M.	Mercy unto you, and peace, and love, be multiplied.—Jude 1:2.	F Minor	Isaac Watts, 1709.	Toney Smith, 1987.	Copyright 1991 Sacred Harp Publishing Company.
278b	278.2	278.2	TRUE	TRAVELING PILGRIM	L.M.H.	Man goeth to his long home.—Eccles. 12:5.	G Minor	The Baltimore Collection, 1801.	H. S. Rees, 1850. Alto Anna Blackshear, 1902.	[no copyright]
n901	10901	279	TRUE	MINK HOLLOW	C.M.D.	They shall never perish, neither shall any man pluck them out of my hand.—John 10:28.	F Major	William Bengo Collyer, 1812, Isaac Watts, 1707, and Benjamin Beddome, 1794.	Keillor Mose, 2023.	Copyright 2025 Sacred Harp Publishing Company.
280	280	280	TRUE	WESTFORD	L.M.	But thou, when thou prayest, enter into thy closet, and when thou hast shut thy door, pray to thy Father which is in secret.—Matt. 6:6.	B♭ Major	Isaac Watts, 1707.	Daniel Read, 1785.	[no copyright]
282	282	282	TRUE	I’M GOING HOME	L.M.	And I will rejoice in Jerusalem, and joy in my people: and the voice of weeping shall be no more heard in her.—Isa. 65:19.	F Major	The Baltimore Collection, 1801.	Leonard P. Breedlove, 1850. Alto S. M. Denson, 1911.	[no copyright]
283	283	283	TRUE	SABBATH MORNING	C.M.	Remember the sabbath day, to keep it holy.—Exod. 20:8.	F Major	Charles Wesley, 1763.	H. N. McGraw, 1935.	Copyright 1936 Sacred Harp Publishing Company.
284	284	284	TRUE	GARDEN HYMN	C.P.M.	Thou that dwellest in the gardens, the companions hearken to thy voice.—Song of Sol. 8:13.	G Major	The Baltimore Collection, 1803.	Arr. A Supplement to the Kentucky Harmony, 1826.	[no copyright]
285t	285.1	285.1	TRUE	ARNOLD	C.M.D.	And have hope toward God ... that there shall be a resurrection of the dead.—Acts 24:15.	B♭ Major	Charles Wesley, 1759.	Leonard P. Breedlove, 1850. Alto E. P. Boroughs, 1867.	[no copyright]
285b	285.2	285.2	TRUE	LAND OF REST	C.M.	The Lord thy God hath given thee rest ... in the land which the Lord thy God giveth thee.—Deut. 25:19.	F Major	The Baptist Magazine, 1829.	H. S. Rees, 1850. Alto S. M. Denson, 1911.	[no copyright]
286	286	286	TRUE	HEAVENLY HOME	C.M.	God hath seen mine affliction.—Gen. 31:42.	F Minor	M. Sikes, 1859.	W. A. Yates, 1935.	Copyright 1936 Sacred Harp Publishing Company.
287	287	287	TRUE	CAMBRIDGE	C.M.	Draw nigh to God, and he will draw nigh to you. Cleanse your hands, ye sinners; and purify your hearts, ye double minded.—James 4:8.	C Major	William Cowper, 1779.	John Randall, 1786.	[no copyright]
288	288	288	TRUE	WHITE	C.M.	For whatsoever is born of God overcometh the world: and this is the victory that overcometh the world, even our faith.—1 John 5:4.	E Major	Dobell’s New Selection, 1806.	Edmund Dumas, 1856.	[no copyright]
289	289	289	TRUE	GREENSBOROUGH	C.M.	I pray thee, let me go over, and see the good land that is beyond Jordan.—Deut. 3:25.	F Major	Isaac Watts, 1707.	John Mercer, 1850.	[no copyright]
290	290	290	TRUE	VICTORIA	C.M.H.	For thou wast slain, and hast redeemed us to God by thy blood.—Rev. 5:9.	B♭ Major	Isaac Watts, 1707.	Leonard P. Breedlove, 1850. Alto Lessie Green, 1902.	[no copyright]
291	291	291	TRUE	MAJESTY	C.M.D.	Then did the cherubims lift up their wings ... and the glory of the God of Israel was over them above.—Ezek. 11:22.	F Major	Thomas Sternhold, 1561.	William Billings, 1778. Alto Hugh W. McGraw, 1971.	[no copyright]
292	292	292	TRUE	BEHOLD THE SAVIOR	C.M.D.	And the veil of the temple was rent in twain from the top to the bottom.—Mark 15:38.	F Major	Samuel Wesley Sr., 1700.	Paine Denson, 1935.	Copyright 1936 Sacred Harp Publishing Company.
n209	10209	293	TRUE	MIDNIGHT HOUR	C.M.	For in such an hour as ye think not the Son of man cometh.—Matt. 24:44.	E Minor	Isaac Watts, 1707.	Ed Thacker, 2009.	Copyright 2025 Sacred Harp Publishing Company.
294	294	294	TRUE	ROCKY ROAD	[no marking]	I will go in the strength of the Lord God.—Ps. 71:16.	E♭ Major	Hampton and Its Students, 1874.	Arr. J. C. Brown and Paine Denson, 1935.	Copyright 1936 Sacred Harp Publishing Company.
n389	10389	295	TRUE	IOWA	8s, 7s & 4s.	So then every one of us shall give account of himself to God.—Rom. 14:12.	E Minor	John Newton, 1774.	P. Dan Brittain, 2002.	Copyright 2025 Sacred Harp Publishing Company.
296	296	296	TRUE	SARDINIA	C.M.D.	Then said Jesus, Father, forgive them; for they know not what they do.—Luke 23:34.	E Minor	Isaac Watts, 1719.	Castle, 1804.	[no copyright]
297	297	297	TRUE	CONVERSION	C.M.	And of his fulness have all we received, and grace for grace.—John 1:16.	C Major	Isaac Watts, 1719.	Supply Belcher, 1794.	[no copyright]
298	298	298	TRUE	PROVIDENCE	C.M.	What shall I render unto the Lord for all his benefits toward me?—Ps. 116:12.	A Major	Isaac Watts, 1719.	Curtis, 1820. Alto Anna Blackshear, 1902.	[no copyright]
299	299	299	TRUE	NEW JERUSALEM	C.M.	And I John saw the holy city, new Jerusalem, coming down from God out of heaven.—Rev. 21:2.	F Major	Isaac Watts, 1707.	Jeremiah Ingalls, 1796.	[no copyright]
300	300	300	TRUE	CALVARY	C.M.	But the natural man receiveth not the things of the Spirit of God.—1 Cor. 2:14.	A Minor	Isaac Watts, 1709.	Daniel Read, 1785.	[no copyright]
301	301	301	TRUE	GREENLAND	C.M.D.	Who maketh grass to grow upon the mountains.—Ps. 147:8.	F Major	Isaac Watts, 1719, and Anne Steele, 1760.	W. F. Moore, 1867. Alto S. M. Denson, 1911.	[no copyright]
302	302	302	TRUE	LOGAN	S.M.	The night cometh, when no man can work.—John 9:4.	E Minor	John Leland, 1790.	T. J. Denson, 1908.	[no copyright]
303	303	303	TRUE	HEAVENLY LAND	C.M.	But the saints of the most High shall take the kingdom, and possess the kingdom for ever, even for ever and ever.—Dan. 7:18.	F Major	Isaac Watts, 1707.	Jeff Sheppard, 1987.	Copyright 1991 Sacred Harp Publishing Company.
304	304	304	TRUE	MORGAN	C.M.D.	My speech shall distil as the dew, as the small rain upon the tender herb, and as the showers upon the grass.—Deut. 32:2.	E Major	Isaac Watts, 1719.	The Easy Instructor, Part II, 1803.	[no copyright]
306	306	306	TRUE	OXFORD	C.M.D.	For unto us a child is born, unto us a son is given.—Isa. 9:6.	A Major	Isaac Watts, 1709.	Arr. John Massengale, 1850. Alto W. M. Cooper, 1902.	[no copyright]
n1154	11154	308	TRUE	THE LOST CITY	7s & 6s.	The water that I shall give him shall be in him a well of water springing up into everlasting life.—John 4:14.	C Major	John Leland, 1793.	Arr. E. L. King, 1850.	[no copyright]
309	309	309	TRUE	LIVING LAMB	C.M.	Behold the Lamb of God, which taketh away the sin of the world.—John 1:29.	D Major	Isaac Watts, 1724.	Arr. C. A. Davis, 1850. Alto Lula Munny, 1902.	[no copyright]
310	310	310	TRUE	WEEPING SAVIOR	C.M.	In whom we have redemption through his blood, the forgiveness of sins.—Eph. 1:7.	F Major	Isaac Watts, 1707.	Arr. Edmund Dumas, 1870. Alto S. M. Denson, 1911.	[no copyright]
311	311	311	TRUE	SILVER STREET	S.M.	O come, let us worship and bow down: let us kneel before the Lord our maker.—Ps. 95:6.	C Major	Isaac Watts, 1719.	Isaac Smith, 1779.	[no copyright]
312t	312.1	312.1	TRUE	SING TO ME OF HEAVEN	S.M.	I will sing with the spirit.—1 Cor. 14:15.	A Minor	Mary Stanley Bunce Dana Shindler, 1840.	Arr. John Massengale, 1850. Alto Henrietta Spivey, 1902.	[no copyright]
312b	312.2	312.2	TRUE	RESTORATION	8s & 7s.	He shall receive the blessing from the Lord.—Ps. 24:5.	A Minor	Robert Robinson, 1758.	Arr. The Southern Harmony, 1835. Alto The Hesperian Harp, 1848.	[no copyright]
313t	313.1	313.1	TRUE	CONCORD	S.M.	Which is Christ in you, the hope of glory.—Col. 1:27.	C Major	Isaac Watts, 1707.	Oliver Holden, 1793.	[no copyright]
313b	313.2	313.2	TRUE	COBB	C.M.	I will bless the Lord at all times: his praise shall continually be in my mouth.—Ps. 34:1.	A Minor	Isaac Watts, v. 1, 1707. v. 2, 1719.	P. Dan Brittain, 1971.	Copyright 1991 Sacred Harp Publishing Company.
314	314	314	TRUE	CLEBURNE	C.M.	In that day shall the Lord of hosts be for a crown of glory, and for a diadem of beauty.—Isa. 28:5.	G Major	Edward Perronet, 1779.	Arr. S. M. Denson, 1908.	[no copyright]
315	315	315	TRUE	IMMENSITY	L.M.	Rejoice in the Lord alway: and again I say, Rejoice.—Phil. 4:4.	A Minor	Isaac Watts, 1719.	Eliakim Doolittle, 1806.	[no copyright]
316	316	316	TRUE	NEW HOPE	L.M.D.	Greater love hath no man than this.—John 15:13.	E♭ Major	Anne Steele, 1760.	A. M. Cagle, 1908.	[no copyright]
317	317	317	TRUE	JACKSON	L.M.	They were strangers and pilgrims on the earth.—Heb. 11:13.	G Major	Clay’s Hymns and Spiritual Songs, 1793.	M. F. McWhorter, 1908.	[no copyright]
318	318	318	TRUE	PRESENT JOYS	L.M.H.	I will sing unto the Lord, because he hath dealt bountifully with me.—Ps. 13:6.	F Major	Joseph Cottle, 1828.	A. M. Cagle, 1908.	[no copyright]
319	319	319	TRUE	RELIGION IS A FORTUNE	7s & 6s.	To an inheritance incorruptible ... reserved in heaven for you.—1 Pet. 1:4.	G Major	John Leland, 1793.	William L. Williams, 1850. Alto S. M. Denson, 1911.	[no copyright]
320	320	320	TRUE	FUNERAL ANTHEM	[no marking]	Blessed are the dead which die in the Lord.—Rev. 14:13.	F♯ Minor	Revelation 14:13.	William Billings, 1778.	[no copyright]
321	321	321	TRUE	NEWNAN	C.M.D.	But, except ye repent, ye shall all likewise perish.—Luke 13:3.	F Major	Joseph Hart, 1762.	J. P. Rees, 1859. Alto S. M. Denson, 1911.	[no copyright]
322	322	322	TRUE	MAN’S REDEMPTION	9s & 7s.	For even the Son of man came ... to give his life a ransom for many.—Mark 10:45.	G Major	Battle’s Collection, 1814.	S. M. Brown, 1870. Alto S. M. Denson, 1911.	[no copyright]
323t	323.1	323.1	TRUE	MULLINS	8s & 7s.	The blessing of the Lord, it maketh rich.—Prov. 10:22.	F Major	Peak’s New Collection, 1793.	Arr. Edmund Dumas, 1870. Alto S. M. Denson, 1911.	[no copyright]
n543	10543	323.2	TRUE	KINGSWOOD	C.M.	I will come again, and receive you unto myself; that where I am, there ye may be also.—John 14:3.	D Minor	Anne Steele, 1760.	Victoria Elliott, 2016.	Copyright 2025 Sacred Harp Publishing Company.
324	324	324	TRUE	NORTH PORT	L.M.H.	After the Lord had spoken unto them, he was received up into heaven, and sat on the right hand of God.—Mark 16:19.	A Minor	John Cennick, 1743.	R. R. Osborne, 1850. Bass J. Smith, 1850.	[no copyright]
325	325	325	TRUE	SOLDIER OF THE CROSS	C.M.	Thou therefore endure hardness, as a good soldier of Jesus Christ.—2 Tim. 2:3.	F Major	Isaac Watts, 1724.	G. B. Daniell, 1909.	[no copyright]
326	326	326	TRUE	WEARY PILGRIM	P.M.	And ye shall find rest unto your souls.—Matt. 11:29.	E Minor	Caleb Jarvis Taylor, 1804.	Leonard P. Breedlove, 1850. Alto W. R. McCoy, 1902.	[no copyright]
327	327	327	TRUE	INVITATION	L.M.D.	Make haste, my beloved, and be thou like to a roe or to a young hart upon the mountains of spices.—Song of Sol. 8:14.	D Major	Isaac Watts, 1707.	Jacob Kimball, 1784.	[no copyright]
328	328	328	TRUE	PRAISE GOD	C.M.D.	Create in me a clean heart, O God; and renew a right spirit within me.—Ps. 51:10.	G Minor	Charles Wesley, 1742.	S. M. Denson, 1911.	[no copyright]
329	329	329	TRUE	VAIN WORLD ADIEU	P.M.	Which hope we have as an anchor of the soul, both sure and stedfast, and which entereth into that within the veil.—Heb. 6:19.	G Major	Seamen’s Devotional Assistant, 1830.	Arr. Edmund Dumas, 1856. Alto S. M. Denson, 1911.	[no copyright]
330b	330.2	330.1	TRUE	FELLOWSHIP	S.M.	If any man suffer as a Christian, let him not be ashamed.—1 Pet. 4:16.	E Minor	John Fawcett, 1782.	Paine Denson, 1935.	Copyright 1936 Sacred Harp Publishing Company.
n658	10658	330.2	TRUE	CHANDESSE	C.M.D.	How long wilt thou forget me, O Lord? for ever? how long wilt thou hide thy face from me?—Ps. 13:1.	A Minor	Isaac Watts, 1719.	Frédéric Eymard, 2020.	Copyright 2025 Sacred Harp Publishing Company.
332	332	332	TRUE	SONS OF SORROW	8s & 7s D.	The earth mourneth and fadeth away, the world languisheth and fadeth away.—Isa. 24:4.	E Minor	Selah Gridley, 1795.	Arr. William Hauser, 1848. Alto Frances Martin, 1902.	[no copyright]
333	333	333	TRUE	FAMILY CIRCLE	8s & 7s.	There shall be a fountain ... for sin and for uncleanness.—Zech. 13:1.	A Major	Robert Robinson, 1758.	R. E. Brown and B. F. White, 1850. Alto Anna Blackshear, 1902.	[no copyright]
n333	10333	334	TRUE	BAINBRIDGE ISLAND	L.M.	In whose hand is the soul of every living thing, and the breath of all mankind.—Job 12:10.	A Major	Joseph H. Gilmore, 1862, and Phillips’s Singing Pilgrim, 1866.	Kevin Laurence Barrans, 2013.	Copyright 2025 Sacred Harp Publishing Company.
335	335	335	TRUE	RETURN AGAIN	8s & 7s.	Wilt thou not revive us again: that thy people may rejoice in thee?—Ps. 85:6.	F Major	John Newton, 1779.	Arr. William L. Williams, 1850. Alto Anna Blackshear, 1902.	[no copyright]
336	336	336	TRUE	ETERNAL HOME	C.M.	Lord, thou hast been our dwelling place in all generations ... from everlasting to everlasting, thou art God.—Ps. 90:1–2.	G Major	Isaac Watts, 1719.	S. M. Denson, 1911.	[no copyright]
337	337	337	TRUE	MERCY’S FREE	P.M.	According to his mercy he saved us.—Titus 3:5.	G Major	v. 1, 3 Pious Songs, 1836. v. 2 Sweet Singer of Israel, 1840.	Leonard P. Breedlove, 1850. Alto William Walker, 1867.	[no copyright]
338	338	338	TRUE	SAWYER’S EXIT	9s & 8s.	Precious in the sight of the Lord is the death of his saints.—Ps. 116:15.	A Major	Seymour Boughton Sawyer, 1850.	Arr. John Massengale, 1850.	[no copyright]
339	339	339	TRUE	WHEN I AM GONE	P.M.	Weep not for me.—Luke 23:28.	A Major	Mary Stanley Bunce Dana Shindler, 1841.	Arr. M. H. Turner, 1850, from Thomas Haynes Bayly, 1833. Alto William Walker, 1867.	[no copyright]
340	340	340	TRUE	ODEM	C.M.	Be ye kind one to another.—Eph. 4:32.	F Major	James Rowe, 1915.	T. J. Denson, 1935.	Copyright 1936 Sacred Harp Publishing Company.
341	341	341	TRUE	THE LONE PILGRIM	11s & 8s.	For if we believe that Jesus died and rose again, even so them also which sleep in Jesus will God bring with him.—1 Thess. 4:14.	D♭ Major	John Ellis, 1838.	Arr. B. F. White, 1850, from Indian Melodies, 1845. Alto Minnie Floyd, 1902.	[no copyright]
342	342	342	TRUE	THE OLD-FASHIONED BIBLE	12s & 11s D.	And this is the law which Moses set before the children of Israel.—Deut. 4:44.	A Major	Charleston Courier, 1818.	Arr. Leonard P. Breedlove, 1850. Alto Hugh W. McGraw, 1971.	[no copyright]
343	343	343	TRUE	HAPPY HOME	L.M.H.	We should not trust in ourselves, but in God which raiseth the dead.—2 Cor. 1:9.	A Major	The Sacred Harp, 1859.	J. P. Rees, 1859. Alto S. M. Denson, 1911.	[no copyright]
344	344	344	TRUE	RAINBOW	C.M.	Which by his strength setteth fast the mountains.—Ps. 65:6.	B♭ Major	Isaac Watts, 1719.	Arr. Phil A. Taber, 1988, from Timothy Swan, 1785.	Copyright 1991 Sacred Harp Publishing Company.
345t	345.1	345.1	TRUE	JESUS IS MY FRIEND	L.M.H.	Ye are my friends, if ye do whatsoever I command you.—John 15:14.	F Major	The Baltimore Collection, 1803.	J. P. Rees, 1870.	[no copyright]
345b	345.2	345.2	TRUE	I’M ON MY JOURNEY HOME	L.M.H.	And they went forth to go into the land of Canaan.—Gen. 12:5.	G Minor	Mead’s General Selection, 1807.	Sarah Lancaster, 1859. Alto Belle Spivey, 1902.	[no copyright]
346	346	346	TRUE	THE AMERICAN STAR	12s & 11s D.	I will not be afraid of ten thousands of people, that have set themselves against me round about.—Ps. 3:6.	D Minor	John McCreery, 1809.	Arr. D. P. White, 1850.	[no copyright]
347	347	347.1	TRUE	CHRISTIAN’S FAREWELL	P.M.	Cast me not away from thy presence; and take not thy holy spirit from me.—Ps. 51:11.	B♭ Major	Lloyd’s Primitive Hymns, 1841.	Raymond C. Hamrick, 1989.	Copyright 1991 Sacred Harp Publishing Company.
n439	10439	347.2	TRUE	HUMILITY	C.M.	Live peaceably with all men.—Rom. 12:18.	B♭ Major	Raymond C. Hamrick, 2000.	Raymond C. Hamrick, 2000.	Copyright 2025 Sacred Harp Publishing Company.
348t	348.1	348.1	TRUE	AINSLIE	C.M.	For dust thou art, and unto dust shalt thou return.—Gen. 3:19.	A Minor	Berryman Hicks, 1835.	Judy Hauff, 1988.	Copyright 1991 Sacred Harp Publishing Company.
348b	348.2	348.2	TRUE	FLEETING DAYS	C.M.	For what is your life? It is even a vapour, that appeareth for a little time, and then vanisheth away.—James 4:14.	F Major	Isaac Watts, 1707.	Henry G. Mann, 1869.	[no copyright]
349	349	349	TRUE	A CROSS FOR ME	C.M.	Let him deny himself, and take up his cross, and follow me.—Matt. 16:24.	E Minor	v. 1 Thomas Shepherd, 1693. v. 2 Second Advent Hymns, 1842.	O. A. Parris, 1935.	Copyright 1936 Sacred Harp Publishing Company.
350	350	350	TRUE	NATIVITY	C.M.	And the grace of our Lord was exceeding abundant with faith and love.—1 Tim. 1:14.	G Major	Charles Wesley, 1739.	Arr. Phil A. Taber, 1988, from Thomas Jarman, 1804.	Copyright 1991 Sacred Harp Publishing Company.
